name,artists,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,year
Tát Nước Đầu Đình,Lynk Lee,35,0.6609999999999999,0.7390000000000001,7,-5.893,1,0.0295,0.444,0.0,0.307,0.79,119.11399999999999,243005,2015
Thôi hẹn em,Madihu,36,0.6890000000000001,0.371,11,-11.655999999999999,1,0.048,0.77,0.0044399999999999995,0.0948,0.47100000000000003,160.05700000000002,231055,2020
Thế Em Có Chuyện Gì,Hale,19,0.789,0.326,11,-11.985999999999999,0,0.325,0.74,1.7e-05,0.109,0.4,172.079,201003,2020
Cách Xa Một Màn Hình,Mít,17,0.8420000000000001,0.563,1,-6.78,1,0.161,0.677,0.0,0.0887,0.607,100.007,251725,2020
Trò Chơi,Soobin Hoang Son,2,0.743,0.7240000000000001,9,-6.11,0,0.0371,0.125,1.62e-05,0.268,0.18,117.98299999999999,196271,2020
Em Là Châu Báu,Tlinh,45,0.888,0.863,2,-4.58,0,0.0841,0.0639,2.06e-06,0.0803,0.8740000000000001,126.991,171969,2020
Rebound - Gotez Remix,TGSN,20,0.615,0.625,10,-5.081,0,0.0435,0.009890000000000001,0.000138,0.136,0.373,128.043,243750,2020
Vứt Zác,Tlinh,24,0.7829999999999999,0.735,8,-6.28,1,0.0406,0.24,0.0804,0.42,0.25,102.96799999999999,188738,2020
Love Pain,Khoi Vu,19,0.8540000000000001,0.495,7,-7.351,0,0.0617,0.742,0.000359,0.127,0.593,132.047,150952,2020
Berlin,Khoi Vu,48,0.838,0.494,1,-7.51,0,0.142,0.78,2.9100000000000003e-05,0.12300000000000001,0.636,127.945,138973,2020
ToGetHer,Binz,39,0.784,0.7190000000000001,6,-5.067,0,0.19,0.0522,0.0,0.139,0.722,100.038,148800,2020
bồ em,DÍNH,42,0.946,0.377,2,-11.775,1,0.0783,0.163,0.000669,0.084,0.747,99.04700000000001,196515,2020
BLACKJACK,Soobin Hoang Son,3,0.807,0.852,4,-4.248,0,0.198,0.106,0.0,0.518,0.813,133.015,196742,2020
Khi Tinh Yeu Du Lon (feat. Rtee),Hoang Thuy Linh,42,0.833,0.532,2,-7.872000000000001,1,0.0811,0.647,5.2300000000000004e-05,0.0845,0.574,99.99,263323,2020
